"","x"
"1","Yes"
"2","No"
"3","No"
"4","No"
"5","No"
"6","No"
"7","No"
"8","No"
"9","No"
"10","No"
"11","No"
"12","Yes"
"13","No"
"14","No"
"15","No"
"16","No"
"17","No"
"18","No"
"19","No"
"20","No"
"21","No"
"22","No"
"23","No"
"24","No"
"25","No"
"26","Yes"
"27","No"
"28","No"
"29","No"
"30","No"
"31","No"
"32","No"
"33","No"
"34","No"
"35","No"
"36","No"
"37","No"
"38","No"
"39","No"
"40","No"
"41","No"
"42","No"
"43","No"
"44","No"
"45","No"
"46","No"
"47","No"
"48","No"
"49","No"
"50","No"
"51","No"
"52","No"
"53","No"
"54","No"
"55","No"
"56","No"
"57","No"
"58","No"
"59","No"
"60","No"
"61","No"
"62","No"
"63","No"
"64","No"
"65","Yes"
"66","No"
"67","No"
"68","No"
"69","No"
"70","No"
"71","Yes"
"72","No"
"73","No"
"74","No"
"75","No"
"76","No"
"77","No"
"78","No"
"79","No"
"80","No"
"81","No"
"82","No"
"83","No"
"84","No"
"85","No"
"86","No"
"87","No"
"88","No"
"89","No"
"90","No"
"91","No"
"92","No"
"93","No"
"94","No"
"95","No"
"96","No"
"97","No"
"98","No"
"99","No"
"100","No"
"101","No"
"102","No"
"103","Yes"
"104","No"
"105","No"
"106","No"
"107","No"
"108","Yes"
"109","No"
"110","No"
"111","No"
"112","No"
"113","No"
"114","No"
"115","No"
"116","No"
"117","No"
"118","No"
"119","No"
"120","No"
"121","Yes"
"122","No"
"123","No"
"124","No"
"125","No"
"126","No"
"127","No"
"128","No"
"129","No"
"130","No"
"131","No"
"132","No"
"133","Yes"
"134","No"
"135","Yes"
"136","No"
"137","No"
"138","No"
"139","No"
"140","No"
"141","No"
"142","No"
"143","No"
"144","No"
"145","No"
"146","No"
"147","No"
"148","No"
"149","No"
"150","Yes"
"151","No"
"152","No"
"153","No"
"154","No"
"155","No"
"156","No"
"157","No"
"158","No"
"159","No"
"160","Yes"
"161","No"
"162","No"
"163","No"
"164","No"
"165","No"
"166","No"
"167","No"
"168","No"
"169","Yes"
"170","No"
"171","No"
"172","No"
"173","No"
"174","No"
"175","No"
"176","Yes"
"177","No"
"178","No"
"179","No"
"180","No"
"181","No"
"182","No"
"183","No"
"184","No"
"185","No"
"186","No"
"187","No"
"188","No"
"189","No"
"190","No"
"191","No"
"192","No"
"193","No"
"194","No"
"195","No"
"196","Yes"
"197","No"
"198","No"
"199","Yes"
"200","Yes"
"201","Yes"
"202","No"
"203","No"
"204","No"
"205","No"
"206","No"
"207","No"
"208","Yes"
"209","Yes"
"210","No"
"211","No"
"212","No"
"213","No"
"214","No"
"215","No"
"216","Yes"
"217","No"
"218","No"
"219","Yes"
"220","No"
"221","No"
"222","No"
"223","No"
"224","No"
"225","No"
"226","No"
"227","No"
"228","No"
"229","No"
"230","No"
"231","No"
"232","No"
"233","No"
"234","No"
"235","No"
"236","No"
"237","No"
"238","No"
"239","No"
"240","No"
"241","No"
"242","No"
"243","No"
"244","No"
"245","No"
"246","No"
"247","No"
"248","No"
"249","No"
"250","No"
"251","No"
"252","No"
"253","Yes"
"254","No"
"255","No"
"256","No"
"257","No"
"258","Yes"
"259","No"
"260","No"
"261","No"
"262","No"
"263","No"
"264","No"
"265","No"
"266","No"
"267","No"
"268","No"
"269","Yes"
"270","No"
"271","No"
"272","No"
"273","No"
"274","No"
"275","No"
"276","No"
"277","No"
"278","No"
"279","No"
"280","Yes"
"281","No"
"282","No"
"283","No"
"284","No"
"285","No"
"286","No"
"287","No"
"288","No"
"289","No"
"290","No"
"291","No"
"292","No"
"293","No"
"294","No"
"295","No"
"296","No"
"297","No"
"298","No"
"299","No"
"300","No"
"301","No"
"302","No"
"303","No"
"304","No"
"305","No"
"306","No"
"307","No"
"308","No"
"309","No"
"310","Yes"
"311","No"
"312","No"
"313","No"
"314","No"
"315","No"
"316","No"
"317","No"
"318","No"
"319","No"
"320","No"
"321","No"
"322","No"
"323","No"
"324","Yes"
"325","No"
"326","Yes"
"327","Yes"
"328","No"
"329","No"
"330","No"
"331","No"
"332","No"
"333","No"
"334","No"
"335","No"
"336","No"
"337","No"
"338","No"
"339","No"
"340","Yes"
"341","No"
"342","No"
"343","Yes"
"344","No"
"345","No"
"346","No"
"347","Yes"
"348","No"
"349","No"
"350","No"
"351","No"
"352","Yes"
"353","No"
"354","No"
"355","No"
"356","No"
"357","No"
"358","No"
"359","Yes"
"360","No"
"361","No"
"362","No"
"363","No"
"364","No"
"365","No"
"366","No"
"367","No"
"368","No"
"369","No"
"370","No"
"371","Yes"
"372","No"
"373","No"
"374","No"
"375","No"
"376","No"
"377","No"
"378","No"
"379","No"
"380","No"
"381","No"
"382","No"
"383","No"
"384","No"
"385","No"
"386","No"
"387","No"
"388","No"
"389","No"
"390","No"
"391","No"
"392","No"
"393","Yes"
"394","No"
"395","No"
"396","No"
"397","No"
"398","No"
"399","No"
"400","No"
"401","Yes"
"402","No"
"403","No"
"404","No"
"405","No"
"406","No"
"407","No"
"408","No"
"409","No"
"410","No"
"411","No"
"412","No"
"413","No"
"414","No"
"415","No"
"416","No"
"417","No"
"418","No"
"419","No"
"420","No"
"421","No"
"422","No"
"423","No"
"424","Yes"
"425","Yes"
"426","No"
"427","No"
"428","No"
"429","No"
"430","No"
"431","No"
"432","Yes"
"433","No"
"434","No"
"435","No"
"436","Yes"
"437","No"
"438","No"
"439","Yes"
"440","Yes"
"441","No"
"442","No"
"443","Yes"
"444","No"
"445","No"
"446","No"
"447","No"
"448","No"
"449","No"
"450","Yes"
"451","No"
"452","No"
"453","No"
"454","Yes"
"455","No"
"456","No"
"457","No"
"458","No"
"459","Yes"
"460","No"
"461","No"
"462","Yes"
"463","No"
"464","No"
"465","Yes"
"466","No"
"467","No"
"468","No"
"469","Yes"
"470","No"
"471","No"
"472","No"
"473","No"
"474","No"
"475","No"
"476","Yes"
"477","No"
"478","No"
"479","No"
"480","No"
"481","No"
"482","No"
"483","No"
"484","No"
"485","No"
"486","No"
"487","No"
"488","No"
"489","No"
"490","No"
"491","No"
"492","No"
"493","Yes"
"494","No"
"495","No"
"496","No"
"497","No"
"498","No"
"499","No"
"500","No"
"501","No"
"502","No"
"503","No"
"504","No"
"505","No"
"506","Yes"
"507","No"
"508","No"
"509","No"
"510","No"
"511","No"
"512","No"
"513","No"
"514","No"
"515","No"
"516","No"
"517","No"
"518","No"
"519","Yes"
"520","No"
"521","No"
"522","Yes"
"523","No"
"524","No"
"525","No"
"526","Yes"
"527","No"
"528","No"
"529","No"
"530","Yes"
"531","No"
"532","Yes"
"533","Yes"
"534","No"
"535","No"
"536","No"
"537","No"
"538","No"
"539","No"
"540","No"
"541","No"
"542","No"
"543","No"
"544","No"
"545","No"
"546","No"
"547","No"
"548","No"
"549","No"
"550","No"
"551","Yes"
"552","No"
"553","No"
"554","No"
"555","No"
"556","No"
"557","No"
"558","No"
"559","No"
"560","No"
"561","No"
"562","No"
"563","No"
"564","Yes"
"565","Yes"
"566","No"
"567","No"
"568","No"
"569","No"
"570","No"
"571","No"
"572","No"
"573","No"
"574","No"
"575","No"
"576","Yes"
"577","No"
"578","No"
"579","No"
"580","No"
"581","No"
"582","No"
"583","No"
"584","No"
"585","No"
"586","No"
"587","No"
"588","No"
"589","No"
"590","No"
"591","No"
"592","No"
"593","No"
"594","No"
"595","Yes"
"596","Yes"
"597","No"
"598","No"
"599","No"
"600","No"
"601","No"
"602","No"
"603","No"
"604","No"
"605","No"
"606","No"
"607","No"
"608","No"
"609","No"
"610","No"
"611","No"
"612","No"
"613","No"
"614","No"
"615","No"
"616","No"
"617","Yes"
"618","No"
"619","No"
"620","Yes"
"621","No"
"622","No"
"623","Yes"
"624","No"
"625","No"
"626","No"
"627","No"
"628","No"
"629","No"
"630","No"
"631","No"
"632","No"
"633","No"
"634","No"
"635","Yes"
"636","No"
"637","No"
"638","No"
"639","No"
"640","No"
"641","No"
"642","No"
"643","No"
"644","Yes"
"645","No"
"646","No"
"647","No"
"648","No"
"649","No"
"650","No"
"651","No"
"652","No"
"653","Yes"
"654","No"
"655","No"
"656","No"
"657","No"
"658","No"
"659","No"
"660","No"
"661","No"
"662","No"
"663","No"
"664","No"
"665","No"
"666","No"
"667","No"
"668","No"
"669","No"
"670","No"
"671","No"
"672","No"
"673","No"
"674","No"
"675","No"
"676","No"
"677","No"
"678","No"
"679","No"
"680","Yes"
"681","No"
"682","No"
"683","No"
"684","No"
"685","No"
"686","No"
"687","Yes"
"688","No"
"689","Yes"
"690","No"
"691","No"
"692","No"
"693","No"
"694","No"
"695","Yes"
"696","No"
"697","No"
"698","No"
"699","No"
"700","No"
"701","No"
"702","No"
"703","No"
"704","No"
"705","No"
"706","No"
"707","Yes"
"708","No"
"709","No"
"710","No"
"711","No"
"712","No"
"713","No"
"714","No"
"715","No"
"716","No"
"717","No"
"718","No"
"719","Yes"
"720","No"
"721","Yes"
"722","No"
"723","No"
"724","No"
"725","No"
"726","No"
"727","No"
"728","No"
"729","No"
"730","No"
"731","No"
"732","Yes"
"733","No"
"734","No"
"735","No"
